time_ms,mode,head,roll,pitch,lvol,rvol,bus_v,current_ma,audio_rail,fault
35089,ACTIVE,CENTER,,,,,4.964,,ON,0x00
35318,ACTIVE,CENTER,,,,,4.964,,ON,0x00
35547,ACTIVE,CENTER,,,,,4.964,,ON,0x00
35776,ACTIVE,CENTER,,,,,4.964,,ON,0x00
35989,ACTIVE,CENTER,,,,,4.964,,ON,0x00
36219,ACTIVE,CENTER,,,,,4.968,,ON,0x00
36448,ACTIVE,CENTER,,,,,4.964,,ON,0x00
36677,ACTIVE,CENTER,,,,,4.968,,ON,0x00
36906,ACTIVE,CENTER,,,,,4.964,,ON,0x00
37135,ACTIVE,CENTER,,,,,4.968,,ON,0x00
37364,ACTIVE,CENTER,,,,,4.964,,ON,0x00
37593,ACTIVE,CENTER,,,,,4.964,,ON,0x00
37822,ACTIVE,CENTER,,,,,4.964,,ON,0x00
38051,ACTIVE,CENTER,,,,,4.964,,ON,0x00
38280,ACTIVE,CENTER,,,,,4.968,,ON,0x00
38509,ACTIVE,CENTER,,,,,4.964,,ON,0x00
38739,ACTIVE,CENTER,,,,,4.964,,ON,0x00
38954,ACTIVE,CENTER,,,,,4.964,,ON,0x00
39183,ACTIVE,CENTER,,,,,4.964,,ON,0x00
39412,ACTIVE,CENTER,,,,,4.968,,ON,0x00
39642,ACTIVE,CENTER,,,,,4.964,,ON,0x00
39871,ACTIVE,CENTER,,,,,4.964,,ON,0x00
40100,ACTIVE,CENTER,,,,,4.964,,ON,0x00
40329,ACTIVE,CENTER,,,,,4.960,,ON,0x00
40558,ACTIVE,CENTER,,,,,4.964,,ON,0x00
40787,ACTIVE,CENTER,,,,,4.964,,ON,0x00
41016,ACTIVE,CENTER,,,,,4.964,,ON,0x00
41245,ACTIVE,CENTER,,,,,4.964,,ON,0x00
41474,ACTIVE,CENTER,,,,,4.964,,ON,0x00
41703,ACTIVE,CENTER,,,,,4.964,,ON,0x00
41917,ACTIVE,CENTER,,,,,4.960,,ON,0x00
42146,ACTIVE,CENTER,,,,,4.964,,ON,0x00
42375,ACTIVE,CENTER,,,,,4.964,,ON,0x00
42604,ACTIVE,CENTER,,,,,4.964,,ON,0x00
42833,ACTIVE,CENTER,,,,,4.964,,ON,0x00
43062,ACTIVE,CENTER,,,,,4.964,,ON,0x00
43291,ACTIVE,CENTER,,,,,4.968,,ON,0x00
43520,ACTIVE,CENTER,,,,,4.964,,ON,0x00
43750,ACTIVE,CENTER,,,,,4.964,,ON,0x00
43979,ACTIVE,CENTER,,,,,4.964,,ON,0x00
44208,ACTIVE,CENTER,,,,,4.968,,ON,0x00
44437,ACTIVE,CENTER,,,,,4.964,,ON,0x00
44653,ACTIVE,CENTER,,,,,4.964,,ON,0x00
44882,ACTIVE,CENTER,,,,,4.964,,ON,0x00
45111,ACTIVE,CENTER,,,,,4.964,,ON,0x00
45340,ACTIVE,CENTER,,,,,4.964,,ON,0x00
45569,ACTIVE,CENTER,,,,,4.964,,ON,0x00
45798,ACTIVE,CENTER,,,,,4.964,,ON,0x00
46027,ACTIVE,CENTER,,,,,4.960,,ON,0x00
46256,ACTIVE,CENTER,,,,,4.964,,ON,0x00
46485,ACTIVE,CENTER,,,,,4.964,,ON,0x00
46715,ACTIVE,CENTER,,,,,4.964,,ON,0x00
46944,ACTIVE,CENTER,,,,,4.968,,ON,0x00
47173,ACTIVE,CENTER,,,,,4.964,,ON,0x00
47402,ACTIVE,CENTER,,,,,4.968,,ON,0x00
47615,ACTIVE,CENTER,,,,,4.964,,ON,0x00
47844,ACTIVE,CENTER,,,,,4.964,,ON,0x00
48073,ACTIVE,CENTER,,,,,4.964,,ON,0x00
48303,ACTIVE,CENTER,,,,,4.964,,ON,0x00
48532,ACTIVE,CENTER,,,,,4.964,,ON,0x00
48761,ACTIVE,CENTER,,,,,4.964,,ON,0x00
48990,ACTIVE,CENTER,,,,,4.964,,ON,0x00
49219,ACTIVE,CENTER,,,,,4.968,,ON,0x00
49448,ACTIVE,CENTER,,,,,4.964,,ON,0x00
49677,ACTIVE,CENTER,,,,,4.964,,ON,0x00
49906,ACTIVE,CENTER,,,,,4.964,,ON,0x00
50135,ACTIVE,CENTER,,,,,4.964,,ON,0x00
50364,ACTIVE,CENTER,,,,,4.964,,ON,0x00
50580,ACTIVE,CENTER,,,,,4.964,,ON,0x00
50809,ACTIVE,CENTER,,,,,4.964,,ON,0x00
51038,ACTIVE,CENTER,,,,,4.964,,ON,0x00
51267,ACTIVE,CENTER,,,,,4.968,,ON,0x00
51496,ACTIVE,CENTER,,,,,4.960,,ON,0x00
51726,ACTIVE,CENTER,,,,,4.964,,ON,0x00
51955,ACTIVE,CENTER,,,,,4.964,,ON,0x00
52184,ACTIVE,CENTER,,,,,4.960,,ON,0x00
52413,ACTIVE,CENTER,,,,,4.964,,ON,0x00
52642,ACTIVE,CENTER,,,,,4.964,,ON,0x00
52871,ACTIVE,CENTER,,,,,4.964,,ON,0x00
53100,ACTIVE,CENTER,,,,,4.964,,ON,0x00
53329,ACTIVE,CENTER,,,,,4.964,,ON,0x00
53543,ACTIVE,CENTER,,,,,4.964,,ON,0x00
53772,ACTIVE,CENTER,,,,,4.964,,ON,0x00
54001,ACTIVE,CENTER,,,,,4.964,,ON,0x00
54230,ACTIVE,CENTER,,,,,4.964,,ON,0x00
54459,ACTIVE,CENTER,,,,,4.964,,ON,0x00
54688,ACTIVE,CENTER,,,,,4.964,,ON,0x00
54917,ACTIVE,CENTER,,,,,4.964,,ON,0x00
55146,ACTIVE,CENTER,,,,,4.968,,ON,0x00
55375,ACTIVE,CENTER,,,,,4.968,,ON,0x00
55605,ACTIVE,CENTER,,,,,4.964,,ON,0x00
55834,ACTIVE,CENTER,,,,,4.964,,ON,0x00
56063,ACTIVE,CENTER,,,,,4.964,,ON,0x00
56292,ACTIVE,CENTER,,,,,4.964,,ON,0x00
56508,ACTIVE,CENTER,,,,,4.964,,ON,0x00
56737,ACTIVE,CENTER,,,,,4.964,,ON,0x00
56966,ACTIVE,CENTER,,,,,4.968,,ON,0x00
